   7.3700000e-01   7.1900000e-01   4.7900000e-01   7.1500000e-01   6.6800000e-01   4.0200000e-01   4.0700000e-01   4.6000000e-01
   6.7600000e-01   9.0300000e-01   8.3500000e-01   8.6100000e-01   4.7000000e-02   9.8000000e-02   7.3200000e-01   8.5100000e-01
   7.3200000e-01   3.7900000e-01   4.0500000e-01   7.0800000e-01   5.0000000e-01   2.4900000e-01   1.2900000e-01   3.9400000e-01
   5.0800000e-01   6.4300000e-01   8.3000000e-01   9.1800000e-01   6.3800000e-01   5.4700000e-01   7.8400000e-01   4.5200000e-01
   5.3400000e-01   8.5500000e-01   6.4700000e-01   7.2300000e-01   3.5900000e-01   3.0600000e-01   2.3200000e-01   5.4000000e-02
   3.5000000e-01   8.1200000e-01   7.3200000e-01   8.0600000e-01   1.4400000e-01   2.9900000e-01   6.4600000e-01   2.3600000e-01
   5.3500000e-01   7.2400000e-01   4.3200000e-01   4.3200000e-01   1.2800000e-01   4.8200000e-01   1.9100000e-01   7.0000000e-02
   4.9500000e-01   3.5800000e-01   4.5600000e-01   6.1900000e-01   6.5400000e-01   3.7300000e-01   8.2300000e-01   1.9700000e-01
   7.0500000e-01   5.6700000e-01   7.6300000e-01   7.9600000e-01   1.1200000e-01   5.1900000e-01   2.1200000e-01   2.1600000e-01
   7.1000000e-01   7.0900000e-01   3.6600000e-01   4.0300000e-01   7.3000000e-02   4.6400000e-01   1.1000000e-01   6.7100000e-01
   6.5000000e-01   5.3300000e-01   4.9900000e-01   6.2600000e-01   5.6000000e-01   7.1300000e-01   2.6400000e-01   5.4000000e-02
   5.2900000e-01   6.7500000e-01   6.9500000e-01   4.4400000e-01   9.2700000e-01   3.8100000e-01   7.5000000e-02   2.9500000e-01
   3.7600000e-01   7.8200000e-01   4.8500000e-01   6.7100000e-01   4.1000000e-02   8.5900000e-01   7.3400000e-01   2.0400000e-01
   9.8600000e-01   4.3900000e-01   5.8800000e-01   8.7900000e-01   3.7200000e-01   2.0700000e-01   1.0300000e-01   5.0300000e-01
   5.6000000e-01   3.6700000e-01   9.4800000e-01   3.9300000e-01   7.2300000e-01   7.4000000e-02   2.5700000e-01   2.2800000e-01
   6.6300000e-01   5.5900000e-01   9.5000000e-01   8.6700000e-01   4.7600000e-01   1.9400000e-01   9.1300000e-01   5.5000000e-02
   9.8500000e-01   4.0500000e-01   7.1100000e-01   7.1000000e-01   6.0400000e-01   8.5000000e-02   9.8000000e-01   8.1700000e-01
   6.2700000e-01   4.5300000e-01   6.8900000e-01   7.2600000e-01   1.8800000e-01   7.4500000e-01   3.1900000e-01   6.5700000e-01
   5.4600000e-01   9.2400000e-01   3.4300000e-01   4.6500000e-01   8.7300000e-01   5.6000000e-02   7.4100000e-01   8.1400000e-01
   6.8000000e-01   5.7700000e-01   9.8500000e-01   6.2400000e-01   5.9500000e-01   4.9100000e-01   1.6100000e-01   2.8500000e-01
